category,illusion_type,model,n,accuracy,p_pred_correct,p_pred_illusory,p_pred_other,mean_prob_correct,mean_prob_illusory,mean_prob_other,control_argmax_accuracy
angle,poggendorff,clip_vit_b32,480,0.56875,0.56875,0.43125,0.0,0.46206270194193866,0.45403815802879527,0.08389914002926636,1.0
angle,poggendorff,convnext_base,480,0.0,0.0,0.0,1.0,0.027102622500773714,0.10865871013981182,0.8642386673594158,0.55
angle,poggendorff,dinov2_vit_b14,480,1.0,1.0,0.0,0.0,0.3333333333333337,0.3333333333333337,0.3333333333333337,
angle,poggendorff,llava_1.5,480,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
angle,poggendorff,llava_1.5_dpo,480,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.016666666666666666
angle,poggendorff,resnet50,480,0.06875,0.06875,0.0625,0.86875,0.07604624884569203,0.2853283121247523,0.6386254390295553,0.0
angle,poggendorff,vit_b_16,480,0.0020833333333333333,0.0020833333333333333,0.17708333333333334,0.8208333333333333,0.03853782280323556,0.16393182804321765,0.7975303491535467,0.0
angle,poggendorff,vit_l_16,480,0.016666666666666666,0.016666666666666666,0.19791666666666666,0.7854166666666667,0.16308372935818694,0.2426401185971735,0.5942761520446401,0.0
angle,zollner,clip_vit_b32,480,1.0,1.0,0.0,0.0,0.8120407274895663,0.13819375647578652,0.04976551603464741,1.0
angle,zollner,convnext_base,480,0.9979166666666667,0.9979166666666667,0.0020833333333333333,0.0,0.9819802818117908,0.018014155795387166,5.562392823167718e-06,1.0
angle,zollner,dinov2_vit_b14,480,1.0,1.0,0.0,0.0,0.3333333333333337,0.3333333333333337,0.3333333333333337,
angle,zollner,llava_1.5,480,0.029166666666666667,0.029166666666666667,0.9708333333333333,0.0,0.029166666666666667,0.9708333333333333,0.0,0.10625
angle,zollner,llava_1.5_dpo,480,0.0020833333333333333,0.0020833333333333333,0.9979166666666667,0.0,0.0020833333333333333,0.9979166666666667,0.0,0.9020833333333333
angle,zollner,resnet50,480,0.8520833333333333,0.8520833333333333,0.0,0.14791666666666667,0.7998834682189947,0.015420842066306027,0.18469568971470013,1.0
angle,zollner,vit_b_16,480,0.9958333333333333,0.9958333333333333,0.004166666666666667,0.0,0.9592470233277013,0.04075182654533982,1.1501269587985523e-06,1.0
angle,zollner,vit_l_16,480,1.0,1.0,0.0,0.0,0.9994846649759079,0.0004962484061939245,1.9086617897663743e-05,1.0
color,simultaneous_contrast,clip_vit_b32,480,1.0,1.0,0.0,0.0,0.7446921880006965,0.13100808292304386,0.12429972907626036,1.0
color,simultaneous_contrast,convnext_base,480,1.0,1.0,0.0,0.0,0.9426003800880379,0.03756317428317663,0.01983644562878513,0.44375
color,simultaneous_contrast,dinov2_vit_b14,480,1.0,1.0,0.0,0.0,0.3333333333333337,0.3333333333333337,0.3333333333333337,
color,simultaneous_contrast,llava_1.5,480,0.03125,0.03125,0.5708333333333333,0.39791666666666664,0.03125,0.5708333333333333,0.39791666666666664,0.13333333333333333
color,simultaneous_contrast,llava_1.5_dpo,480,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7520833333333333
color,simultaneous_contrast,resnet50,480,1.0,1.0,0.0,0.0,0.8697293647923064,0.033430464332362186,0.09684017087533213,0.50625
color,simultaneous_contrast,vit_b_16,480,1.0,1.0,0.0,0.0,0.9701297576995557,0.007734329105971402,0.022135913194472563,0.07291666666666667
